Cpd,CATS2D_09_DA_me,C-012_me,VE1sign_D/Dt_bt,F08[C-O]_me,C-012_at,VE2_D/Dt_me,SpMAD_AEA(dm)_bt,S-109_bt,GATS3p_at,HyWi_B(s)_bt
403,0.115384615,-0.230769231,0.069818391,4.153846154,-0.080357143,-0.020884615,-0.054367816,-0.333333333,0.013930804,-0.014942529
1211,-0.884615385,-0.230769231,0.12467037,-1.846153846,0,0.018115385,-0.100873016,-0.53968254,0.011294118,-0.860767196
830,-0.796766744,-0.064665127,-0.10632963,-2.069284065,-0.080357143,-0.001775982,0.089126984,0.46031746,0.041930804,-0.080767196
391,-2.166666667,-0.333333333,-0.177181609,-2,-0.080357143,0.014,-0.084367816,-0.333333333,0.148930804,-0.144942529
1819,-0.884615385,-0.230769231,-0.13752963,1.153846154,0,-0.015884615,-0.130873016,-0.53968254,0.001294118,-0.490767196
155,-0.796766744,-0.064665127,-0.208181609,-2.069284065,-0.080357143,0.041224018,-0.034367816,-0.333333333,0.078930804,-0.474942529
518,0.203233256,-0.064665127,-0.15762963,-1.069284065,-0.080357143,0.043224018,-0.080873016,-0.53968254,0.071930804,-0.700767196
462,0.203233256,-0.064665127,-0.19592963,0.930715935,-0.080357143,-0.005775982,0.039126984,0.46031746,-0.101069196,0.059232804
1330,-0.884615385,-0.230769231,0.21667037,0.153846154,0,-0.001884615,-0.030873016,-0.53968254,0.011294118,-0.410767196
860,-0.796766744,-0.064665127,-0.06932963,-2.069284065,-0.080357143,-0.007775982,0.019126984,0.46031746,-0.099069196,-0.120767196
240,-0.796766744,-0.064665127,0.378818391,1.930715935,-0.080357143,0.020224018,0.025632184,-0.333333333,-0.076069196,0.055057471
1609,2.203233256,-0.064665127,-0.17002963,3.930715935,-0.080357143,0.025224018,-0.040873016,-0.53968254,-0.009069196,-0.410767196
590,-0.796766744,-0.064665127,0.01067037,-1.069284065,-0.080357143,-0.010775982,0.019126984,0.46031746,-0.106069196,0.629232804
541,-0.796766744,-0.064665127,0.05967037,3.930715935,-0.080357143,0.011224018,0.009126984,-0.53968254,0.098930804,-0.260767196
1368,-0.884615385,-0.230769231,-0.14492963,2.153846154,0,0.001115385,-0.040873016,-0.53968254,0.111294118,0.059232804
1730,-0.884615385,-0.230769231,-0.16702963,0.153846154,0,-0.008884615,0.019126984,-0.53968254,-0.008705882,-0.150767196
1949,-0.884615385,-0.230769231,0.10567037,3.153846154,-0.080357143,-0.009884615,0.039126984,-0.53968254,0.328930804,-0.400767196
1979,-0.884615385,-0.230769231,0.57767037,2.153846154,0,0.005115385,-0.040873016,-0.53968254,-0.195705882,-0.340767196
1793,-0.884615385,-0.230769231,-0.03132963,0.153846154,0,-0.019884615,-0.080873016,-0.53968254,0.131294118,-0.250767196
406,-0.884615385,-0.230769231,0.015818391,2.153846154,-0.080357143,-0.016884615,-0.064367816,-0.333333333,0.001930804,-0.354942529
620,-0.796766744,-0.064665127,0.14067037,-1.069284065,-0.080357143,0.022224018,0.029126984,-0.53968254,0.043930804,-0.260767196
1516,-1.166666667,-0.333333333,0.001818391,1,-0.080357143,0.01,-0.064367816,-0.333333333,0.108930804,-0.064942529
1677,-1.166666667,-0.333333333,-0.21230963,-5,-0.080357143,0.018,-0.000873016,-0.53968254,0.188930804,-0.450767196
1757,1.115384615,-0.230769231,0.29167037,5.153846154,0,-0.012884615,-0.010873016,-0.53968254,0.071294118,0.049232804
823,2.203233256,-0.064665127,0.05067037,5.930715935,-0.080357143,-0.021775982,-0.000873016,-0.53968254,-0.011069196,0.059232804
982,-0.796766744,-0.064665127,-0.06732963,-1.069284065,-0.080357143,-0.009775982,0.019126984,0.46031746,-0.053069196,0.279232804
1691,-2.166666667,-0.333333333,-0.01732963,-6,-0.080357143,0.025,-0.020873016,-0.53968254,0.138930804,-0.250767196
1020,-0.796766744,-0.064665127,-0.08632963,-1.069284065,-0.080357143,0.004224018,0.009126984,0.46031746,-0.144069196,-0.230767196
1928,-0.884615385,-0.230769231,0.14167037,-1.846153846,0,0.026115385,-0.000873016,-0.53968254,0.101294118,-0.490767196
1397,-0.884615385,-0.230769231,0.13367037,-1.846153846,0,0.010115385,-0.080873016,-0.53968254,0.041294118,-0.710767196
135,-0.796766744,-0.064665127,-0.277181609,-1.069284065,-0.080357143,0.019224018,-0.044367816,-0.333333333,0.428930804,-0.114942529
1942,-0.884615385,-0.230769231,-0.09532963,0.153846154,0,0.035115385,-0.110873016,-0.53968254,-0.137705882,-0.820767196
1304,-0.884615385,-0.230769231,0.04967037,-1.846153846,0,0.011115385,-0.070873016,-0.53968254,0.131294118,-0.740767196
1646,0.203233256,-0.064665127,-0.10832963,1.930715935,-0.080357143,0.030224018,-0.030873016,-0.53968254,0.128930804,-0.560767196
1403,0.115384615,-0.230769231,0.19567037,4.153846154,-0.080357143,-0.024884615,-0.090873016,-0.53968254,0.037930804,-0.090767196
