Cpd,CATS2D_09_DA_me,C-012_me,VE1sign_D/Dt_bt,F08[C-O]_me,C-012_at,VE2_D/Dt_me,SpMAD_AEA(dm)_bt,S-109_bt,GATS3p_at,HyWi_B(s)_bt,Active
1782,1.115384615,-0.230769231,0.18267037,2.153846154,0,0.000115385,-0.030873016,-0.53968254,0.061294118,-0.430767196,-1
1129,-2.166666667,-0.333333333,-0.10332963,-6,-0.080357143,0.065,-0.020873016,-0.53968254,0.040930804,-0.900767196,-1
1372,1.115384615,-0.230769231,0.17667037,2.153846154,-0.080357143,-0.011884615,-0.000873016,-0.53968254,0.178930804,-0.320767196,-1
1135,-1.166666667,0.666666667,0.51367037,10,0.919642857,-0.0421,0.049126984,-0.53968254,-0.037069196,-0.010767196,-1
1957,0.115384615,-0.230769231,-0.06432963,0.153846154,0,-0.003884615,-0.030873016,-0.53968254,-0.161705882,-0.260767196,-1
839,1.203233256,-0.064665127,0.43667037,1.930715935,-0.080357143,0.004224018,-0.040873016,-0.53968254,0.178930804,0.149232804,1
1448,-0.884615385,-0.230769231,0.14067037,-1.846153846,0,0.025115385,-0.030873016,-0.53968254,0.241294118,-0.860767196,-1
1358,-0.884615385,-0.230769231,-0.01932963,2.153846154,0,-0.017884615,0.079126984,-0.53968254,-0.053705882,-0.180767196,-1
164,-0.796766744,-0.064665127,0.004818391,1.930715935,-0.080357143,0.015224018,-0.024367816,-0.333333333,0.148930804,0.065057471,-1
857,0.203233256,-0.064665127,0.09167037,1.930715935,-0.080357143,-0.003775982,-0.030873016,-0.53968254,0.004930804,-0.080767196,1
1883,-0.884615385,-0.230769231,0.31467037,0.153846154,0,-0.011884615,-0.060873016,-0.53968254,0.021294118,-0.260767196,-1
1141,0.115384615,-0.230769231,0.12767037,1.153846154,-0.080357143,-0.023884615,-0.040873016,-0.53968254,-0.054069196,-0.290767196,1
1708,-2.166666667,-0.333333333,-0.06432963,-4,-0.080357143,0.009,-0.080873016,-0.53968254,0.168930804,-0.290767196,-1
1412,-0.884615385,-0.230769231,0.09367037,0.153846154,0,0.014115385,0.029126984,-0.53968254,-0.040705882,-0.490767196,-1
97,-0.796766744,-0.064665127,-0.319681609,0.930715935,-0.080357143,0.033224018,0.055632184,-0.333333333,-0.009069196,-0.124942529,-1
1891,-0.884615385,-0.230769231,-0.19332963,-1.846153846,0,0.045115385,0.059126984,-0.53968254,-0.163705882,-0.760767196,-1
848,-0.796766744,-0.064665127,-0.19762963,-1.069284065,-0.080357143,-0.007775982,0.039126984,0.46031746,-0.169069196,0.269232804,1
